CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
33885534000100;POSTO LEAO;RUA FLORES DA CUNHA,25;SALA;CENTRO;MACAUBAS;BA;Diesel S500;3,999;19/09/2018 17:21
33885534000100;POSTO LEAO;RUA FLORES DA CUNHA,25;SALA;CENTRO;MACAUBAS;BA;Diesel S10;4,099;19/09/2018 17:21
34002337000150;POSTOS IATE COMERCIO E SERVICOS LTDA;AVENIDA REPORT NESTOR MOREIRA,41;;BOTAFOGO;RIO DE JANEIRO;RJ;Gasolina;5,299;06/09/2018 06:55
34002337000150;POSTOS IATE COMERCIO E SERVICOS LTDA;AVENIDA REPORT NESTOR MOREIRA,41;;BOTAFOGO;RIO DE JANEIRO;RJ;Etanol;3,699;06/09/2018 06:55
34002337000150;POSTOS IATE COMERCIO E SERVICOS LTDA;AVENIDA REPORT NESTOR MOREIRA,41;;BOTAFOGO;RIO DE JANEIRO;RJ;Diesel S10;3,929;06/09/2018 06:55
34147157000166;AUTO POSTO EXCEDE LTDA;AVENIDA EPITACIO PESSOA,4630;;LAGOA;RIO DE JANEIRO;RJ;Gasolina;5,299;06/09/2018 06:54
34147157000166;AUTO POSTO EXCEDE LTDA;AVENIDA EPITACIO PESSOA,4630;;LAGOA;RIO DE JANEIRO;RJ;Etanol;3,599;06/09/2018 06:54
34147157000166;AUTO POSTO EXCEDE LTDA;AVENIDA EPITACIO PESSOA,4630;;LAGOA;RIO DE JANEIRO;RJ;Diesel S10;3,789;06/09/2018 06:54
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Gasolina;4,99;18/07/2018 14:35
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Etanol;3,85;18/07/2018 14:35
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Diesel S500;3,39;18/07/2018 14:35
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Diesel S10;3,42;18/07/2018 14:35
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Gasolina;4,59;27/06/2018 12:39
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Etanol;3,49;27/06/2018 12:39
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Diesel S500;3,69;27/06/2018 12:39
37563426000163;POSTO CARAZINHO;RUA PREFEITO THEOFANES,2691;;CENTRO;RIO BRILHANTE;MS;Diesel S10;3,8;27/06/2018 12:39
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Gasolina;4,69;27/06/2018 13:00
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Etanol;3,49;27/06/2018 13:00
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Diesel S500;3,69;27/06/2018 13:00
37563426000244;POSTO TCHE;RUA BENJAMIN CONSTANT,2054;;BAIRRO NORTE;RIO BRILHANTE;MS;Diesel S10;3,8;27/06/2018 13:00
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Gasolina;4,999;12/09/2018 09:28
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Etanol;3,493;12/09/2018 09:28
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;GNV;2,692;04/09/2018 13:16
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Diesel S500;3,772;04/09/2018 13:16
40296824000175;KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA; ETR  MARECHAL ALENCASTRO,3660;;ANCHIETA;RIO DE JANEIRO;RJ;Diesel S10;3,853;04/09/2018 13:16
41526112000168;POSTO SAO JOSE;RODOVIA BR 142,S/N;KM 01;ZONA RURAL;PIO IX;PI;Gasolina;4,9;24/07/2018 09:28
41526112000168;POSTO SAO JOSE;RODOVIA BR 142,S/N;KM 01;ZONA RURAL;PIO IX;PI;Diesel S10;3,55;24/07/2018 09:28
48299440000118;KOIKE, KOIKE & CIA LTDA;AVENIDA IRMAS CINTRA,525;;CENTRO;SAO MANUEL;SP;Gasolina;4,5;20/06/2018 13:27
48299440000118;KOIKE, KOIKE & CIA LTDA;AVENIDA IRMAS CINTRA,525;;CENTRO;SAO MANUEL;SP;Etanol;2,98;20/06/2018 13:27
48299440000118;KOIKE, KOIKE & CIA LTDA;AVENIDA IRMAS CINTRA,525;;CENTRO;SAO MANUEL;SP;Diesel S500;3,41;20/06/2018 13:27
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Gasolina;4,599;17/09/2018 17:09
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Etanol;2,849;17/09/2018 17:09
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Diesel S500;3,469;17/09/2018 17:09
53328944000159;AUTO POSTO BANDEIRA;AVENIDA JOAO PESSOA,1426;;PEDREGULHO;GUARATINGUETA;SP;Diesel S10;3,709;17/09/2018 17:09
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Gasolina;4,179;01/08/2018 17:30
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Etanol;2,599;01/08/2018 17:30
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Diesel S500;3,139;01/08/2018 17:30
58662446000161;AUTO POSTO 4R LTDA.;RODOVIA PRESIDENTE DUTRA,S/N;KM 124;CAMPO GRANDE;CACAPAVA;SP;Diesel S10;3,239;01/08/2018 17:30
61109229000153;AUTO POSTO DA FÉ LTDA;AVENIDA CONSELHEIRO CARRÃO,3481; ;VILA CARRÃO;SAO PAULO;SP;Gasolina;4,299;31/07/2018 11:38
